------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 20:41:00
Start Date 7/27/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:42:37
Download Date 7/27/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.945,-0.035,-0.297
0.957,-0.039,-0.285
0.969,-0.055,-0.277
0.965,-0.063,-0.273
0.969,-0.059,-0.277
0.977,-0.051,-0.285
0.984,-0.043,-0.289
0.984,-0.035,-0.289
0.984,-0.016,-0.289
0.984,-0.008,-0.293
0.996,0,-0.289
1.004,0,-0.289
1.004,-0.008,-0.289
1.008,-0.016,-0.289
1.008,-0.012,-0.289
1,-0.004,-0.289
1.012,-0.008,-0.285
1.031,-0.004,-0.273
1.039,0,-0.27
1.043,0.012,-0.266
1.059,0.027,-0.258
1.066,0.039,-0.254
1.074,0.035,-0.258
1.09,0.012,-0.266
1.105,-0.004,-0.27
1.121,0.012,-0.281
1.137,0.043,-0.289
1.141,0.059,-0.289
1.152,0.063,-0.289
1.16,0.039,-0.273
1.16,0.004,-0.262
1.16,0.008,-0.246
1.164,0.055,-0.227
1.168,0.086,-0.211
1.184,0.082,-0.199
1.195,0.066,-0.195
1.207,0.055,-0.18
1.207,0.07,-0.176
1.195,0.098,-0.184
1.195,0.125,-0.188
1.211,0.137,-0.191
1.215,0.129,-0.195
1.211,0.105,-0.191
1.215,0.082,-0.191
1.223,0.066,-0.199
1.238,0.074,-0.227
1.25,0.09,-0.242
1.238,0.102,-0.254
1.234,0.117,-0.262
1.238,0.141,-0.266
1.23,0.156,-0.242
1.219,0.16,-0.215
1.223,0.148,-0.188
1.227,0.117,-0.168
1.23,0.102,-0.16
1.227,0.125,-0.172
1.203,0.16,-0.199
1.184,0.199,-0.242
1.172,0.23,-0.273
1.164,0.246,-0.281
1.152,0.238,-0.27
1.141,0.211,-0.238
1.148,0.195,-0.215
1.16,0.203,-0.195
1.176,0.23,-0.184
1.184,0.242,-0.141
1.199,0.266,-0.074
1.23,0.281,0.004
1.266,0.277,0.082
1.285,0.242,0.16
1.289,0.191,0.215
1.266,0.137,0.242
1.23,0.121,0.227
1.172,0.207,0.152
1.113,0.32,0.023
1.09,0.379,-0.102
1.082,0.34,-0.211
1.078,0.238,-0.32
1.094,0.16,-0.406
1.105,0.129,-0.43
1.051,0.09,-0.426
0.977,0.016,-0.418
0.914,-0.039,-0.418
0.879,-0.066,-0.414
0.879,-0.051,-0.379
0.898,-0.004,-0.355
0.926,0.031,-0.313
0.934,0.039,-0.258
0.926,0.074,-0.191
0.902,0.098,-0.117
0.875,0.055,-0.012
0.852,0.027,0.109
0.84,0.094,0.191
0.824,0.145,0.246
0.84,0.152,0.293
0.848,0.219,0.309
0.836,0.359,0.285
0.816,0.406,0.289
0.758,0.379,0.316
0.707,0.379,0.32
0.707,0.383,0.301
0.785,0.398,0.309
0.84,0.422,0.355
0.855,0.477,0.391
0.91,0.477,0.418
0.949,0.473,0.43
0.957,0.473,0.434
0.926,0.461,0.453
0.875,0.418,0.469
0.844,0.395,0.453
0.813,0.355,0.426
0.789,0.324,0.387
0.754,0.32,0.309
0.699,0.328,0.23
0.629,0.313,0.164
0.543,0.258,0.125
0.508,0.195,0.121
0.477,0.156,0.105
0.438,0.145,0.125
0.438,0.117,0.156
0.465,0.105,0.188
0.5,0.141,0.223
0.539,0.176,0.266
0.543,0.211,0.301
0.5,0.258,0.324
0.457,0.254,0.34
0.492,0.227,0.363
0.59,0.215,0.41
0.703,0.254,0.516
0.836,0.367,0.594
0.926,0.516,0.613
0.938,0.594,0.578
0.887,0.547,0.508
0.793,0.453,0.414
0.664,0.332,0.34
0.551,0.191,0.297
0.512,0.082,0.305
0.547,0.059,0.371
0.648,0.145,0.48
0.789,0.313,0.586
0.895,0.484,0.637
0.926,0.586,0.625
0.891,0.582,0.59
0.836,0.516,0.523
0.781,0.461,0.438
0.738,0.391,0.359
0.684,0.297,0.309
0.625,0.238,0.266
0.59,0.211,0.223
0.574,0.188,0.184
0.508,0.156,0.148
0.449,0.113,0.102
0.398,0.047,0.023
0.305,-0.039,-0.063
0.223,-0.105,-0.125
0.207,-0.102,-0.152
0.281,-0.02,-0.113
0.469,0.125,0.004
0.672,0.297,0.164
0.82,0.469,0.301
0.953,0.68,0.406
1.012,0.82,0.438
1.039,0.863,0.434
1.023,0.723,0.387
0.965,0.559,0.371
0.984,0.656,0.32
1.152,0.957,0.266
1.277,1.121,0.305
1.328,1.016,0.406
1.359,0.797,0.477
1.367,0.566,0.516
1.344,0.359,0.488
1.266,0.188,0.422
1.098,-0.039,0.336
0.926,-0.215,0.305
0.883,-0.121,0.281
0.965,0.121,0.246
1.082,0.344,0.18
1.168,0.531,0.137
1.238,0.73,0.148
1.281,0.883,0.207
1.223,0.844,0.25
1.109,0.672,0.25
1.027,0.539,0.242
1.004,0.516,0.234
1.02,0.516,0.203
1.059,0.512,0.172
1.125,0.566,0.176
1.207,0.641,0.184
1.352,0.707,0.23
1.512,0.711,0.285
1.637,0.648,0.313
1.688,0.574,0.301
1.598,0.504,0.25
1.414,0.465,0.191
1.215,0.52,0.148
1.027,0.617,0.113
0.844,0.66,0.113
0.672,0.645,0.117
0.559,0.605,0.086
0.547,0.516,0.059
0.57,0.41,0.051
0.547,0.281,0.02
0.469,0.168,-0.055
0.414,0.168,-0.152
0.395,0.316,-0.234
0.387,0.535,-0.262
0.375,0.645,-0.227
0.348,0.633,-0.117
0.32,0.578,0.02
0.367,0.543,0.156
0.496,0.523,0.297
0.605,0.547,0.391
0.672,0.617,0.422
0.703,0.609,0.445
0.688,0.504,0.461
0.645,0.402,0.441
0.582,0.406,0.383
0.531,0.461,0.297
0.5,0.574,0.207
0.473,0.66,0.156
0.441,0.691,0.18
0.461,0.684,0.281
0.629,0.742,0.406
0.875,0.852,0.539
1.051,0.887,0.711
1.129,0.871,0.848
1.211,0.727,0.805
1.262,0.316,0.762
1.188,-0.078,0.734
1.121,-0.094,0.734
1.203,0.141,0.789
1.406,0.496,0.746
1.582,0.77,0.656
1.602,0.836,0.5
1.508,0.73,0.32
1.398,0.469,0.195
1.297,0.184,0.105
1.195,0.004,-0.004
1.145,-0.074,-0.082
1.055,-0.199,-0.129
0.938,-0.367,-0.148
0.855,-0.523,-0.078
0.82,-0.605,0.043
0.797,-0.617,0.184
0.762,-0.598,0.434
0.75,-0.594,0.688
0.73,-0.402,0.742
0.742,0.129,0.531
0.73,0.848,0.137
0.711,1.301,-0.262
0.738,1.406,-0.492
0.688,0.758,-0.422
0.637,0.133,-0.285
0.625,0.074,-0.27
0.781,0.418,-0.234
0.918,0.574,-0.121
0.879,0.504,-0.012
0.828,0.582,-0.016
0.957,0.855,-0.051
1.137,0.992,-0.043
1.258,0.961,0.039
1.375,0.926,0.238
1.457,0.98,0.5
1.355,0.98,0.777
1.453,1.16,0.922
1.699,1.289,1.031
1.727,1.355,0.996
1.828,1.477,0.91
1.969,1.449,0.859
1.988,1.184,0.816
1.789,1.031,0.77
1.512,0.91,0.922
1.332,1.066,0.965
1.281,1.219,0.977
1.066,0.969,0.988
0.797,0.734,0.969
0.582,0.461,0.941
0.391,0.23,0.863
0.219,0.082,0.734
0.086,-0.023,0.602
0,-0.031,0.465
-0.02,0,0.324
-0.027,0.113,0.168
0.02,0.309,0.059
0.117,0.434,0.027
0.223,0.555,0
0.336,0.59,-0.027
0.434,0.555,-0.023
0.516,0.492,0.012
0.641,0.531,0.031
0.789,0.637,0.109
0.949,0.629,0.285
1.086,0.754,0.422
1.156,0.832,0.594
1.141,1.023,0.621
1.09,1.25,0.516
1.109,1.305,0.418
1.27,1.289,0.449
1.504,1.316,0.484
1.75,1.367,0.484
1.883,1.266,0.41
1.809,1.09,0.246
1.559,1.016,0.051
1.273,0.863,-0.047
1.066,0.48,-0.078
0.922,0.055,-0.066
0.789,-0.242,0.008
0.66,-0.414,0.109
0.551,-0.504,0.129
0.496,-0.523,0.125
0.449,-0.5,0.172
0.398,-0.457,0.254
0.34,-0.387,0.332
0.285,-0.254,0.414
0.234,-0.055,0.508
0.246,0.215,0.617
0.309,0.512,0.723
0.398,0.797,0.809
0.492,0.945,0.859
0.578,0.996,0.879
0.629,1.008,0.855
0.66,1.027,0.809
0.68,1.086,0.754
0.68,1.125,0.707
0.668,1.082,0.672
0.664,0.992,0.637
0.656,0.926,0.602
0.66,0.883,0.566
0.688,0.809,0.547
0.715,0.707,0.551
0.723,0.609,0.555
0.699,0.531,0.527
0.68,0.504,0.496
0.668,0.465,0.492
0.652,0.395,0.5
0.629,0.324,0.5
0.613,0.281,0.516
0.629,0.277,0.527
0.656,0.316,0.531
0.668,0.359,0.516
0.676,0.422,0.512
0.688,0.477,0.52
0.691,0.52,0.527
0.699,0.559,0.535
0.715,0.582,0.539
0.719,0.563,0.555
0.715,0.535,0.551
0.703,0.523,0.531
0.699,0.527,0.5
0.691,0.539,0.473
0.676,0.563,0.449
0.66,0.598,0.445
0.648,0.602,0.457
0.629,0.574,0.473
0.617,0.543,0.5
0.613,0.496,0.52
0.617,0.441,0.535
0.613,0.398,0.539
0.609,0.367,0.539
0.609,0.367,0.531
0.621,0.398,0.504
0.629,0.441,0.484
0.637,0.508,0.441
0.645,0.578,0.418
0.648,0.594,0.406
0.648,0.531,0.414
0.656,0.457,0.43
0.672,0.398,0.457
0.711,0.379,0.496
0.746,0.379,0.523
0.766,0.418,0.531
0.75,0.434,0.531
0.711,0.449,0.531
0.672,0.465,0.5
0.672,0.512,0.445
0.719,0.539,0.418
0.766,0.5,0.402
0.781,0.414,0.418
0.793,0.32,0.457
0.809,0.258,0.504
0.805,0.27,0.52
0.777,0.34,0.512
0.734,0.414,0.457
0.68,0.449,0.324
0.645,0.492,0.133
0.641,0.473,-0.051
0.633,0.426,-0.141
0.629,0.305,-0.133
0.672,0.188,-0.027
0.773,0.129,0.133
0.891,0.172,0.285
0.949,0.289,0.391
0.93,0.301,0.441
0.875,0.211,0.477
0.824,0.152,0.477
0.781,0.195,0.461
0.75,0.293,0.422
0.684,0.355,0.414
0.676,0.406,0.352
0.711,0.422,0.281
0.711,0.348,0.254
0.715,0.289,0.254
0.746,0.309,0.273
0.816,0.336,0.289
0.801,0.418,0.316
0.789,0.293,0.402
0.891,0.172,0.453
0.988,0.164,0.457
1.027,0.18,0.434
1.047,0.191,0.418
1.035,0.16,0.379
1.039,0.152,0.246
1.102,0.199,0.059
1.133,0.23,-0.082
1.109,0.254,-0.129
1.129,0.219,-0.105
1.113,0.211,-0.109
1.063,0.168,-0.039
0.992,0.09,0.063
0.914,0.055,0.16
0.848,0.082,0.223
0.781,0.156,0.25
0.75,0.215,0.266
0.734,0.234,0.258
0.742,0.234,0.238
0.758,0.215,0.211
0.785,0.207,0.172
0.832,0.227,0.125
0.879,0.23,0.07
0.898,0.254,0.023
0.91,0.285,-0.023
0.914,0.27,-0.074
0.918,0.172,-0.109
0.934,0.059,-0.141
0.934,-0.063,-0.148
0.93,-0.148,-0.141
0.941,-0.168,-0.152
0.938,-0.035,-0.172
0.879,0.156,-0.168
0.832,0.207,-0.148
0.797,0.215,-0.113
0.797,0.277,-0.066
0.824,0.344,0
0.859,0.32,0.063
0.918,0.074,0.125
1.031,-0.375,0.113
1.105,-0.477,0.043
0.926,-0.324,0.129
0.695,-0.004,0.102
0.711,0.492,-0.043
0.816,0.738,-0.262
0.836,0.617,-0.348
0.832,0.344,-0.367
0.895,0.078,-0.414
1.027,-0.207,-0.391
1.16,-0.383,-0.387
1.184,-0.34,-0.352
1.125,-0.137,-0.359
1.133,0.078,-0.313
1.152,0.133,-0.258
1.129,0.145,-0.219
1.121,0.172,-0.207
1.137,0.156,-0.199
1.133,0.133,-0.191
1.125,0.18,-0.195
1.137,0.238,-0.215
1.148,0.234,-0.254
1.141,0.18,-0.273
1.148,0.18,-0.285
1.16,0.242,-0.285
1.164,0.313,-0.266
1.148,0.328,-0.23
1.141,0.262,-0.203
1.133,0.191,-0.16
1.125,0.156,-0.113
1.129,0.145,-0.102
1.129,0.156,-0.109
1.145,0.172,-0.121
1.168,0.176,-0.141
1.199,0.18,-0.148
1.223,0.145,-0.148
1.258,0.09,-0.137
1.293,0.035,-0.129
1.309,0.004,-0.117
1.332,-0.031,-0.094
1.348,-0.07,-0.09
1.371,-0.07,-0.09
1.391,-0.078,-0.098
1.414,-0.063,-0.105
1.434,-0.023,-0.102
1.434,0.012,-0.117
1.441,0.047,-0.164
1.469,0.09,-0.215
1.48,0.098,-0.238
1.465,0.035,-0.234
1.43,-0.047,-0.23
1.387,-0.105,-0.223
1.332,-0.133,-0.207
1.281,-0.105,-0.199
1.242,-0.063,-0.203
1.203,-0.043,-0.199
1.164,-0.023,-0.207
1.133,0.023,-0.227
1.113,0.098,-0.266
1.105,0.176,-0.293
1.094,0.23,-0.297
1.066,0.234,-0.289
1.055,0.223,-0.281
1.035,0.199,-0.27
1.016,0.191,-0.262
0.996,0.191,-0.262
0.973,0.191,-0.262
0.965,0.188,-0.262
0.961,0.176,-0.25
0.957,0.168,-0.246
0.965,0.148,-0.242
0.961,0.133,-0.25
0.961,0.125,-0.258
0.965,0.113,-0.25
0.957,0.098,-0.238
0.949,0.086,-0.223
0.949,0.07,-0.203
0.945,0.063,-0.184
0.945,0.055,-0.168
0.949,0.059,-0.164
0.953,0.063,-0.16
0.957,0.063,-0.168
0.969,0.063,-0.168
0.977,0.063,-0.16
0.98,0.051,-0.148
0.988,0.027,-0.133
1,0.004,-0.121
1.012,-0.016,-0.117
1.027,-0.035,-0.117
1.063,-0.039,-0.121
1.094,-0.023,-0.141
1.125,0.016,-0.168
1.164,0.055,-0.184
1.195,0.09,-0.203
1.234,0.137,-0.227
1.254,0.145,-0.23
1.293,0.141,-0.23
1.313,0.109,-0.215
1.301,0.047,-0.184
1.289,0.02,-0.164
1.293,0.004,-0.141
1.297,-0.027,-0.145
1.313,-0.016,-0.156
1.344,0.004,-0.168
1.328,-0.02,-0.168
1.32,0.027,-0.18
1.285,0.039,-0.203
1.316,0.113,-0.219
1.336,0.148,-0.207
1.297,0.141,-0.203
1.242,0.098,-0.195
1.223,0.043,-0.199
1.23,0.027,-0.207
1.23,0.055,-0.219
1.238,0.113,-0.227
1.23,0.141,-0.219
1.219,0.129,-0.184
1.195,0.113,-0.16
1.18,0.109,-0.152
1.16,0.137,-0.156
1.156,0.168,-0.172
1.152,0.184,-0.176
1.141,0.184,-0.176
1.145,0.199,-0.172
1.152,0.238,-0.172
1.145,0.266,-0.156
1.137,0.262,-0.141
1.125,0.246,-0.113
1.098,0.23,-0.082
1.074,0.223,-0.063
1.063,0.215,-0.043
1.066,0.227,-0.043
1.063,0.238,-0.035
1.074,0.25,-0.023
1.086,0.25,-0.023
1.09,0.246,-0.016
1.07,0.219,-0.02
1.055,0.16,-0.016
1.047,0.113,0.004
1.039,0.113,0.023
1.035,0.172,0.031
1.027,0.168,0.012
1.023,0.105,-0.012
0.996,0.07,-0.035
0.957,0.094,-0.07
0.914,0.105,-0.121
0.879,0.07,-0.16
0.855,-0.02,-0.176
0.84,-0.125,-0.168
0.863,-0.184,-0.152
0.926,-0.184,-0.121
0.949,-0.098,-0.109
0.926,-0.023,-0.113
0.926,-0.043,-0.121
0.957,0.012,-0.133
1.02,0.172,-0.168
1.059,0.293,-0.191
1.074,0.352,-0.211
1.078,0.402,-0.227
1.031,0.41,-0.223
0.969,0.32,-0.184
0.934,0.227,-0.137
0.906,0.141,-0.07
0.887,0.086,0
0.883,0.055,0.063
0.883,0.055,0.113
0.879,0.07,0.137
0.875,0.125,0.141
0.863,0.16,0.145
0.84,0.215,0.141
0.84,0.242,0.16
0.848,0.266,0.156
0.848,0.297,0.16
0.832,0.332,0.152
0.832,0.328,0.141
0.84,0.305,0.125
0.844,0.316,0.113
0.848,0.305,0.121
0.848,0.266,0.141
0.836,0.219,0.164
0.832,0.191,0.191
0.867,0.172,0.215
0.914,0.172,0.223
0.945,0.223,0.207
0.945,0.285,0.188
0.918,0.281,0.168
0.871,0.238,0.168
0.824,0.215,0.152
0.789,0.211,0.125
0.719,0.172,0.113
0.637,0.137,0.063
0.539,0.129,-0.012
0.438,0.098,-0.125
