------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170049
Start Time 08:01:00
Start Date 8/3/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 08:02:45
Download Date 8/3/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.824,-0.734,1.367
0.824,-0.867,1.281
0.789,-0.914,1.098
0.738,-0.691,0.82
0.773,-0.285,0.52
0.805,0.086,0.281
0.781,0.332,0.137
0.738,0.492,0.066
0.707,0.617,0.039
0.723,0.66,0.105
0.727,0.563,0.211
0.707,0.379,0.344
0.711,0.203,0.461
0.715,0.102,0.551
0.734,0.074,0.602
0.73,0.082,0.617
0.734,0.168,0.578
0.754,0.293,0.527
0.77,0.367,0.508
0.746,0.352,0.523
0.727,0.34,0.516
0.73,0.32,0.492
0.699,0.227,0.469
0.688,0.148,0.445
0.707,0.16,0.418
0.707,0.199,0.426
0.707,0.191,0.465
0.703,0.129,0.492
0.719,0.008,0.492
0.719,-0.102,0.477
0.727,-0.105,0.473
0.746,-0.012,0.488
0.773,0.098,0.516
0.785,0.16,0.555
0.781,0.176,0.559
0.734,0.117,0.551
0.691,0.063,0.539
0.637,0.051,0.5
0.633,0.129,0.457
0.645,0.262,0.465
0.652,0.352,0.531
0.676,0.398,0.629
0.723,0.422,0.684
0.773,0.359,0.723
0.824,0.227,0.707
0.824,0.133,0.641
0.781,0.117,0.504
0.738,0.141,0.348
0.711,0.184,0.242
0.664,0.234,0.203
0.676,0.277,0.215
0.758,0.277,0.301
0.805,0.281,0.359
0.906,0.27,0.41
0.938,0.289,0.434
0.965,0.328,0.43
0.98,0.313,0.41
0.969,0.293,0.371
0.973,0.266,0.332
1.012,0.266,0.273
1.027,0.27,0.207
0.977,0.215,0.18
0.902,0.16,0.16
0.824,0.105,0.156
0.785,0.09,0.207
0.77,0.137,0.285
0.711,0.207,0.383
0.633,0.273,0.445
0.551,0.277,0.457
0.395,0.188,0.449
0.332,0.281,0.336
0.293,0.141,0.387
0.289,0.121,0.422
0.301,0.148,0.48
0.277,0.09,0.551
0.371,0.156,0.523
0.465,0.246,0.445
0.57,0.332,0.289
0.656,0.289,0.188
0.707,0.172,0.078
0.797,0.102,0.031
0.867,0.133,-0.035
0.969,0.125,-0.035
1,0.074,-0.039
1.055,0.066,-0.039
1.105,0.117,-0.113
1.16,0.168,-0.105
1.039,0.063,0.016
1.113,0.129,0.105
1.008,0.133,0.344
1,0.086,0.523
1.027,0.145,0.484
0.785,0.016,0.609
0.633,-0.266,0.566
1.148,0.105,0.086
0.871,0.07,0.031
0.75,-0.008,-0.164
0.949,0.031,-0.293
1.016,-0.273,-0.547
1.148,-0.43,-0.559
