------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 09:36:00
Start Date 8/5/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:37:36
Download Date 8/5/18
Current Memory Address: 0
Current Battery Voltage: 4.17     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.387,0.348,0.918
-0.375,0.34,0.922
-0.375,0.336,0.914
-0.375,0.344,0.914
-0.375,0.34,0.906
-0.375,0.344,0.902
-0.375,0.348,0.902
-0.371,0.34,0.902
-0.367,0.336,0.902
-0.363,0.328,0.902
-0.359,0.32,0.902
-0.355,0.32,0.902
-0.363,0.32,0.902
-0.363,0.324,0.902
-0.363,0.336,0.902
-0.367,0.34,0.906
-0.367,0.344,0.91
-0.367,0.344,0.906
-0.371,0.344,0.906
-0.367,0.34,0.906
-0.367,0.332,0.906
-0.367,0.328,0.91
-0.363,0.332,0.906
-0.363,0.328,0.902
-0.359,0.324,0.902
-0.359,0.324,0.902
-0.363,0.324,0.898
-0.363,0.328,0.906
-0.363,0.332,0.906
-0.371,0.336,0.902
-0.375,0.34,0.91
-0.375,0.34,0.914
-0.379,0.344,0.906
-0.375,0.348,0.906
-0.379,0.34,0.902
-0.371,0.328,0.906
-0.363,0.32,0.91
-0.359,0.32,0.906
-0.363,0.316,0.902
-0.367,0.32,0.902
-0.367,0.324,0.902
-0.371,0.328,0.906
-0.363,0.336,0.906
-0.367,0.34,0.902
-0.363,0.344,0.91
-0.363,0.344,0.906
-0.367,0.336,0.91
-0.371,0.332,0.906
-0.363,0.332,0.902
-0.363,0.332,0.902
-0.375,0.332,0.906
-0.367,0.332,0.906
-0.371,0.328,0.898
-0.371,0.34,0.883
-0.379,0.355,0.875
-0.387,0.344,0.895
-0.383,0.27,0.898
-0.379,0.203,0.914
-0.363,0.176,0.938
-0.352,0.188,0.957
-0.336,0.203,0.957
-0.313,0.242,0.98
-0.305,0.305,1.023
-0.324,0.32,1.043
-0.328,0.293,1.063
-0.285,0.297,1.082
-0.207,0.367,1.051
-0.141,0.539,0.926
-0.152,0.727,0.754
-0.215,0.914,0.629
-0.258,0.984,0.539
-0.254,0.984,0.465
-0.234,0.996,0.434
-0.199,0.977,0.477
-0.184,0.969,0.438
-0.195,0.965,0.363
-0.191,0.957,0.332
-0.16,0.93,0.328
-0.18,0.879,0.258
-0.281,0.859,0.305
-0.418,0.781,0.402
-0.535,0.574,0.488
-0.676,0.375,0.488
-0.809,0.355,0.473
-0.879,0.336,0.512
-0.934,0.266,0.609
-0.98,0.223,0.684
-1.008,0.184,0.727
-1.012,0.156,0.742
-1.027,0.184,0.73
-1.055,0.223,0.699
-1.078,0.289,0.609
-1.078,0.355,0.504
-1.039,0.352,0.434
-0.992,0.285,0.398
-0.941,0.176,0.41
-0.895,0.074,0.418
-0.902,0.086,0.383
-0.957,0.086,0.34
-0.953,0.129,0.297
-0.941,0.219,0.277
-0.906,0.336,0.273
-0.891,0.414,0.273
-0.758,0.504,0.293
-0.672,0.504,0.301
-0.625,0.492,0.258
-0.59,0.484,0.219
-0.539,0.531,0.184
-0.48,0.59,0.152
-0.43,0.672,0.141
-0.406,0.723,0.125
-0.352,0.703,0.141
-0.324,0.754,0.113
-0.289,0.953,0.027
-0.273,1.168,-0.031
-0.281,1.277,-0.043
-0.285,1.285,0.008
-0.363,1.191,0.047
-0.406,1.031,0.125
-0.422,0.871,0.215
-0.469,0.77,0.27
-0.504,0.789,0.301
-0.539,0.832,0.34
-0.59,0.867,0.406
-0.66,0.895,0.516
-0.777,0.867,0.617
-0.883,0.824,0.668
-0.945,0.648,0.711
-0.965,0.363,0.758
-0.941,0.105,0.773
-0.879,-0.074,0.699
-0.793,-0.137,0.551
-0.727,-0.113,0.367
-0.684,0.012,0.176
-0.66,0.23,0.027
-0.668,0.402,-0.078
-0.672,0.469,-0.09
-0.645,0.438,-0.02
-0.555,0.465,0.066
-0.523,0.52,0.168
-0.648,0.531,0.242
-0.844,0.531,0.285
-0.949,0.426,0.336
-0.93,0.18,0.504
-0.832,-0.051,0.625
-0.773,-0.195,0.656
-0.738,-0.207,0.637
-0.73,-0.129,0.527
-0.758,0.047,0.324
-0.871,0.258,0.055
-1.027,0.418,-0.156
-1.086,0.543,-0.152
-1.078,0.559,-0.082
-1.043,0.473,-0.008
-1.023,0.316,0.055
-0.965,0.137,0.043
-0.914,-0.008,-0.031
-0.84,-0.055,-0.113
-0.789,0.051,-0.168
-0.742,0.223,-0.105
-0.688,0.348,0.016
-0.617,0.406,0.207
-0.539,0.293,0.391
-0.449,0.211,0.527
-0.43,0.219,0.547
-0.496,0.242,0.508
-0.559,0.242,0.457
-0.59,0.176,0.445
-0.605,0.094,0.457
-0.602,-0.012,0.484
-0.594,-0.086,0.426
-0.594,-0.07,0.301
-0.59,0.023,0.117
-0.59,0.121,-0.066
-0.59,0.168,-0.168
-0.566,0.156,-0.203
-0.555,0.066,-0.199
-0.543,0.012,-0.195
-0.516,-0.02,-0.246
-0.523,-0.09,-0.27
-0.543,-0.07,-0.25
-0.555,-0.023,-0.238
-0.559,-0.008,-0.23
-0.551,0.055,-0.258
-0.563,0.227,-0.355
-0.715,0.414,-0.359
-0.906,0.477,-0.305
-1.023,0.363,-0.223
-1.121,0.156,-0.031
-1.238,-0.059,0.086
-1.246,-0.457,0.055
-1.129,-0.777,0.027
-1.113,-0.965,0.109
-1.18,-0.813,0.023
-1.262,-0.648,-0.102
-1.25,-0.473,-0.25
-1.18,-0.066,-0.461
-1.156,0.203,-0.602
-1.121,0.27,-0.641
-1.086,0.23,-0.563
-1.07,0.227,-0.453
-1.121,0.266,-0.445
-1.254,0.355,-0.453
-1.379,0.41,-0.508
-1.43,0.316,-0.543
-1.43,0.141,-0.523
-1.418,0.043,-0.516
-1.449,0.059,-0.551
-1.492,0.125,-0.586
-1.516,0.137,-0.586
-1.5,0.078,-0.574
-1.5,-0.023,-0.563
-1.512,-0.086,-0.547
-1.504,-0.098,-0.516
-1.484,-0.074,-0.465
-1.461,-0.051,-0.414
-1.449,-0.031,-0.395
-1.457,-0.047,-0.387
-1.453,-0.082,-0.383
-1.445,-0.133,-0.375
-1.445,-0.188,-0.391
-1.449,-0.23,-0.406
-1.434,-0.273,-0.379
-1.387,-0.316,-0.316
-1.324,-0.32,-0.266
-1.262,-0.301,-0.262
-1.223,-0.285,-0.293
-1.172,-0.258,-0.332
-1.125,-0.195,-0.379
-1.078,-0.113,-0.414
-1.043,-0.055,-0.414
-1.02,-0.023,-0.406
-1.004,-0.008,-0.391
-0.992,0.004,-0.367
-0.996,0.027,-0.395
-1,0.086,-0.465
-1.008,0.156,-0.547
-1.023,0.188,-0.605
-1.043,0.184,-0.629
-1.07,0.156,-0.648
-1.109,0.141,-0.664
-1.141,0.145,-0.676
-1.16,0.156,-0.664
-1.176,0.141,-0.637
-1.191,0.09,-0.602
-1.211,0.016,-0.559
-1.219,-0.059,-0.523
-1.215,-0.098,-0.5
-1.203,-0.102,-0.477
-1.191,-0.102,-0.438
-1.18,-0.117,-0.395
-1.16,-0.18,-0.348
-1.156,-0.262,-0.313
-1.145,-0.301,-0.277
-1.121,-0.266,-0.254
-1.121,-0.18,-0.273
-1.145,-0.105,-0.301
-1.148,-0.047,-0.328
-1.133,-0.004,-0.332
-1.125,0,-0.352
-1.137,-0.008,-0.387
-1.152,-0.027,-0.387
-1.141,-0.043,-0.355
-1.113,-0.031,-0.328
-1.094,0.027,-0.352
-1.098,0.105,-0.371
-1.098,0.125,-0.379
-1.102,0.074,-0.371
-1.07,0.035,-0.387
-1.059,0.063,-0.398
-1.066,0.059,-0.402
-1.074,0.039,-0.395
-1.059,0.027,-0.363
-1.039,0.023,-0.344
-1.02,0.07,-0.367
-1.027,0.156,-0.41
-1.047,0.238,-0.461
-1.066,0.273,-0.504
-1.082,0.219,-0.516
-1.078,0.137,-0.508
-1.082,0.063,-0.473
-1.105,0.008,-0.406
-1.117,-0.004,-0.348
-1.125,0.039,-0.336
-1.145,0.074,-0.363
-1.168,0.063,-0.383
-1.164,0.016,-0.391
-1.137,-0.027,-0.398
-1.113,-0.02,-0.43
-1.121,0.02,-0.477
-1.16,0.031,-0.488
-1.141,0.09,-0.547
-1.105,0.227,-0.617
-1.109,0.297,-0.664
-1.129,0.262,-0.66
-1.109,0.176,-0.641
-1.066,0.094,-0.613
-1.012,0.043,-0.672
-0.961,-0.125,-0.715
-0.887,-0.473,-0.629
-0.746,-0.66,-0.512
-0.637,-0.535,-0.477
-0.738,-0.461,-0.52
-0.844,-0.395,-0.555
-0.844,-0.309,-0.535
-0.773,-0.164,-0.484
-0.711,0.023,-0.461
-0.676,0.18,-0.461
-0.652,0.266,-0.469
-0.66,0.262,-0.434
-0.676,0.27,-0.344
-0.746,0.254,-0.203
-0.836,0.285,-0.109
-0.961,0.332,0.07
-1.066,0.344,0.273
-1.133,0.395,0.406
-1.176,0.449,0.457
-1.148,0.438,0.461
-1.035,0.461,0.41
-0.953,0.578,0.281
-0.949,0.664,0.148
-0.938,0.707,0.031
-0.898,0.746,-0.066
-0.84,0.703,-0.117
-0.758,0.605,-0.141
-0.672,0.492,-0.141
-0.605,0.359,-0.082
-0.563,0.242,-0.035
-0.531,0.199,0.008
-0.539,0.246,0.027
-0.563,0.262,0.035
-0.543,0.336,0.004
-0.492,0.324,-0.063
-0.43,0.195,-0.113
-0.324,0.066,-0.137
-0.23,0.008,-0.164
-0.203,-0.066,-0.199
-0.207,-0.105,-0.188
-0.219,-0.141,-0.137
-0.238,-0.148,-0.066
-0.258,-0.148,-0.008
-0.277,-0.152,0.012
-0.301,-0.148,-0.008
-0.324,-0.129,-0.039
-0.328,-0.055,-0.063
-0.371,0.078,-0.078
-0.465,0.215,-0.086
-0.574,0.355,-0.098
-0.672,0.453,-0.105
-0.758,0.465,-0.117
-0.828,0.422,-0.121
-0.859,0.355,-0.121
-0.883,0.328,-0.117
-0.953,0.355,-0.109
-1.035,0.418,-0.078
-1.117,0.5,-0.051
-1.223,0.527,-0.008
-1.277,0.477,0.02
-1.258,0.398,0.043
-1.199,0.305,0.066
-1.113,0.219,0.086
-1.039,0.16,0.059
-0.98,0.152,0.008
-0.926,0.199,-0.051
-0.891,0.277,-0.082
-0.883,0.355,-0.086
-0.891,0.406,-0.07
-0.891,0.406,-0.035
-0.859,0.395,0.004
-0.828,0.371,0.031
-0.809,0.34,0.047
-0.797,0.32,0.043
-0.801,0.316,0.031
