pre,1260,10800,62760,90000,149400,180000,235800,270000,,
during,900,18000,58500,104400,144600,194400,231000,280800,320400,259200
post,900,21600,59400,97920,146280,199800,,,,
dominantArm,-1,,,,,,,,,
age,10,,,,,,,,,
