Pre,2100,41400,72420,123300,158400,210600,244800,300600,,,,,,
During,0,21000,26100,34800,39360,43200,84600,133200,166800,204300,210600,219600,255000,306000
Post,71100,108000,145800,194400,196200,201600,232200,280800,321300,370800,,,,
dominantArm,1,,,,,,,,,,,,,
